setting,climate_variable,lag_weeks,n,beta,se,p_value,adjusted_r2,q_value_fdr_bh,significant_fdr_0_05,ci_lower,ci_upper
Philippines,humidity,8,337,0.0497952889749852,0.031650972040560235,0.1156580371494721,0.9073612973903209,0.34697411144841633,False,-0.012240616224512862,0.11183119417448326
Singapore,rainfall,0,519,-0.002883254845010237,0.009093447285129487,0.751190862133801,0.9580290664173764,0.8846252066235992,False,-0.020706411523864033,0.014939901833843559
Singapore,rainfall,1,519,0.0003860260975264724,0.007633406490777862,0.9596676748508317,0.9580199387789003,0.9731841209754912,False,-0.014575450624398136,0.01534750281945108
Singapore,rainfall,2,518,0.007822289698642036,0.008142367940708042,0.3367081693721704,0.9579819622703731,0.6201123505180195,False,-0.008136751465145725,0.023781330862429798
Singapore,rainfall,4,516,0.01949829218030321,0.008585228339605733,0.023138245592110755,0.9580091151213881,0.16942610731395863,False,0.0026712446346759747,0.036325339725930446
Singapore,rainfall,6,514,0.008690048165640427,0.0091823861020725,0.34395360289083965,0.9575895307005573,0.6201123505180195,False,-0.009307428594421675,0.02668752492570253
Singapore,rainfall,8,512,-0.011719386892910855,0.008223320518242582,0.1541165993495588,0.9576878002240811,0.41226410920592865,False,-0.027837095108666315,0.004398321322844605
Singapore,temperature,0,519,0.013925744909465736,0.010489166208720504,0.18429995362213425,0.9581572343118598,0.44587357069577566,False,-0.00663302085962645,0.03448451067855792
Singapore,temperature,1,519,0.017901727920183703,0.009937206875257369,0.07162648858335723,0.9582474522196059,0.2643774262610875,False,-0.0015751975553207412,0.03737865339568815
Singapore,temperature,2,518,0.005633344420160998,0.009458954513196453,0.551471361918475,0.957935961004976,0.7790340372847568,False,-0.012906206425704048,0.024172895266026045
Singapore,temperature,4,516,-0.018305991709126494,0.010878975326755816,0.0924342512603929,0.9578219428413525,0.30954726003480415,False,-0.03962878334956789,0.0030167999313149042
Singapore,temperature,6,514,0.019376165739847805,0.008965613350981332,0.03068263076855225,0.9577747675916314,0.18351601371399928,False,0.0018035635719243943,0.03694876790777121
Singapore,temperature,8,512,0.02642872014056965,0.00927197408485867,0.004366597813951651,0.9580336778423902,0.06986556502322641,False,0.008255650934246659,0.04460178934689264
Singapore,humidity,0,519,0.021504657370816013,0.009078892669916414,0.017853467593987,0.9583950543292054,0.14391220174239383,False,0.003710027737779842,0.039299287003852185
Singapore,humidity,1,519,0.025594858187316702,0.009322176031624755,0.006040249570683594,0.9585528082150514,0.08225387524834472,False,0.007323393165332183,0.04386632320930122
Singapore,humidity,2,518,0.023410653433226035,0.008567109723433095,0.006283282137026333,0.9583600089762371,0.08225387524834472,False,0.0066191183752971686,0.0402021884911549
