setting,source_week,median_cases,mean_cases
Sri Lanka,44,668.0,1092.3333333333333
Sri Lanka,45,567.0,1067.2222222222222
Sri Lanka,46,696.0,1088.3333333333333
Sri Lanka,47,647.0,1206.111111111111
Sri Lanka,48,913.0,1393.7777777777778
Sri Lanka,49,1019.0,1604.5555555555557
Sri Lanka,50,736.0,1459.5555555555557
Sri Lanka,51,1207.0,1670.4444444444443
Sri Lanka,52,1056.0,1377.375
Taiwan,1,0.0,39.77777777777778
Taiwan,2,0.0,26.88888888888889
Taiwan,3,0.0,6.888888888888889
Taiwan,4,0.0,4.555555555555555
Taiwan,5,0.0,1.3333333333333333
Taiwan,6,0.0,0.7777777777777778
Taiwan,7,0.0,0.7777777777777778
Taiwan,8,0.0,2.111111111111111
Taiwan,9,0.0,0.5555555555555556
Taiwan,10,0.0,0.1111111111111111
Taiwan,11,0.0,0.2222222222222222
Taiwan,12,0.0,0.0
Taiwan,13,0.0,0.1111111111111111
Taiwan,14,0.0,0.3333333333333333
Taiwan,15,0.0,0.1111111111111111
Taiwan,16,0.0,0.7777777777777778
Taiwan,17,0.0,0.1111111111111111
Taiwan,18,0.0,0.1111111111111111
Taiwan,19,0.0,0.0
Taiwan,20,0.0,0.0
Taiwan,21,0.0,0.0
Taiwan,22,0.0,0.0
Taiwan,23,0.0,1.8888888888888888
Taiwan,24,0.0,1.2222222222222223
Taiwan,25,0.0,3.0
Taiwan,26,0.0,7.555555555555555
Taiwan,27,0.0,14.11111111111111
Taiwan,28,0.0,16.0
Taiwan,29,1.0,15.11111111111111
Taiwan,30,2.0,25.555555555555557
Taiwan,31,1.0,24.444444444444443
Taiwan,32,0.0,34.77777777777778
Taiwan,33,0.0,54.888888888888886
Taiwan,34,0.0,66.11111111111111
Taiwan,35,0.0,105.0
Taiwan,36,1.0,160.0
Taiwan,37,2.0,237.66666666666666
Taiwan,38,5.0,220.55555555555554
Taiwan,39,3.0,232.88888888888889
Taiwan,40,5.0,290.22222222222223
Taiwan,41,3.0,254.22222222222223
Taiwan,42,3.0,200.0
Taiwan,43,0.0,196.55555555555554
Taiwan,44,0.0,166.0
Taiwan,45,0.0,176.66666666666666
Taiwan,46,0.0,149.77777777777777
Taiwan,47,0.0,116.33333333333333
Taiwan,48,0.0,76.0
Taiwan,49,0.0,46.77777777777778
Taiwan,50,0.0,39.44444444444444
Taiwan,51,0.0,29.77777777777778
Taiwan,52,0.0,59.111111111111114
